,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone,tweetHashtagCt,Weight,positiveness,negativeness,sentiment_label,pos_adj,neg_adj
0,712428318260244480,"@MalyndaNyc Same here - I have been called every pejorative imaginable by Clinton supporters, very sad!
#OfThePeople #StillSanders",0,0,Twitter Web Client,2016-03-22 23:58:42,2664205285,scout_lisa,Lisa Scout,2014-07-20 22:28:12,Mother - LGBT & Human Rights Activist,379,1452,"Anchorage,  Alaska",,2,0.127,0.0769798810212,0.828186537773,negative,0.5625,0.75
1,712424864288641024,"RT @danmericaCNN: Ahead of her event tonight in Seattle, the city's mayor - Ed Murray - endorses Hillary Clinton.",169,0,Twitter for iPad,2016-03-22 23:44:58,32820396,alaskawater,JaniceImWithHer,2009-04-18 07:05:42,"Tina, Angela, Steven, and Alison's Mom I BLOCK #Trolls proud to be blocked by @realDonaldTrump BSN Pubic health. #facts. don't piss on my leg & say it's raining",1512,2262,Alaska,,0,1.0,0.25,0.0,positive,0.0,0.0
2,712420630595915776,RT @Robin182zz: Sanders gasping against Clinton as race heads West - POLITICO https://t.co/UbcB3yldwH https://t.co/cYrHMChmGI,4,0,Twitter for iPad,2016-03-22 23:28:09,32820396,alaskawater,JaniceImWithHer,2009-04-18 07:05:42,"Tina, Angela, Steven, and Alison's Mom I BLOCK #Trolls proud to be blocked by @realDonaldTrump BSN Pubic health. #facts. don't piss on my leg & say it's raining",1512,2262,Alaska,,0,1.0,0.0,0.125,positive,0.0,0.0
3,712419603171844097,"RT @AbbsWinston: #HillaryClinton : Destroy Syria for israel: “The Best Way to Help israel” Proxy in Syria 
https://t.co/dDoZ09LXVo https://…",110,0,Twitter Web Client,2016-03-22 23:24:04,2906473932,unconcious0,high horse Catholic,2014-11-22 00:38:09,u.s.m.c.- uss intrepid-69-71 Semper Fi       .DESTROYER OF DAESH.ps.I don't buy followers.,4514,4511,LOST some where in Alaska.,Pacific Time (US & Canada),1,0.265,0.03125,0.00520833333333,positive,0.0,0.0
4,712419602584576000,RT @GaetaSusan: DIA E-Mails↔ISIS Deliberately Armed &amp; Funded By Obama &amp; Clinton✔💥#treason #genocide #evil http://t.co/TTKDY7q9PX http://t.c…,5942,0,Twitter for iPhone,2016-03-22 23:24:04,366819502,FredZeppelin12,FredZeppelin,2011-09-02 21:54:02,It ends only once. Make the most of each day. Proud man-made global warming denier and member of the vast right wing conspiracy,37344,25046,The Great State of Alaska,Alaska,3,0.063,0.0416666666667,0.361111111111,positive,0.0,0.0
5,712419487505453056,"RT @DrMartyFox: #Brussels 

#Hillary Warns Against #Islamophobia 

She Does Not Want To Anger Her Donors 

https://t.co/PelcMdI0uJ https://…",396,0,Twitter for iPhone,2016-03-22 23:23:36,366819502,FredZeppelin12,FredZeppelin,2011-09-02 21:54:02,It ends only once. Make the most of each day. Proud man-made global warming denier and member of the vast right wing conspiracy,37344,25046,The Great State of Alaska,Alaska,3,0.063,0.0423076923077,0.0942307692308,positive,0.0,0.0
6,712415991372746752,"Retweeted CNN Politics (@CNNPolitics):

Poll: Donald Trump and Hillary Clinton score historic unfavorable ratings... https://t.co/wppQWXrJul",0,0,Facebook,2016-03-22 23:09:43,90613781,swensonmember,Mark Kim Marion,2009-11-17 11:53:49,Alaska Reporter for Anchorage 12th man media for Wilson NW Media.  @Seahawks and @NFL reporter supports Spokane's 8th man #Anch12thman,8003,8372,Alaska and Washington State ,Alaska,0,1.0,0.0,0.666666666667,positive,0.25,0.666666666667
7,712415979456712704,RT @CNNPolitics: Poll: Donald Trump and Hillary Clinton score historic unfavorable ratings https://t.co/DrDPt7PcNC https://t.co/D6Ul0IN9c1,224,0,Twitter for Android,2016-03-22 23:09:40,90613781,swensonmember,Mark Kim Marion,2009-11-17 11:53:49,Alaska Reporter for Anchorage 12th man media for Wilson NW Media.  @Seahawks and @NFL reporter supports Spokane's 8th man #Anch12thman,8003,8372,Alaska and Washington State ,Alaska,0,1.0,0.0,0.666666666667,positive,0.25,0.666666666667
8,712414830670393345,RT @Hillary2016Pres: 7 of Hillary Clinton’s biggest accomplishments. https://t.co/ILVQpFt9X3 @HillaryClinton #Hillary2016 #GOPdebate https:…,11,0,Twitter for iPad,2016-03-22 23:05:06,32820396,alaskawater,JaniceImWithHer,2009-04-18 07:05:42,"Tina, Angela, Steven, and Alison's Mom I BLOCK #Trolls proud to be blocked by @realDonaldTrump BSN Pubic health. #facts. don't piss on my leg & say it's raining",1512,2262,Alaska,,2,0.127,0.0,0.0,positive,0.0,0.0
9,712413204224192512,Did you know Hillary drove the Alcan Hwy and lived in Alaska? Catch the live Interview with Hillary Clinton as... https://t.co/jTvDD6HE2R,1,0,Facebook,2016-03-22 22:58:38,164013340,970KFBX,970KFBX-AM Fairbanks,2010-07-07 20:52:17,,460,692,Fairbanks Alaska,Alaska,0,1.0,0.428011643529,0.00738916256158,positive,0.193181818182,0.0
10,712412370027433986,"RT @ROCKWITHBECK: #NeverHillary &gt; Judicial Watch: New (LIAR) @HillaryClinton Documents Raise Questions on Benghazi, Clinton Foundation http…",1,0,Twitter for iPhone,2016-03-22 22:55:19,61076635,donnas0818,"Oh, Donna",2009-07-29 01:25:51,"Conservative, Christian, fiercely patriotic, wife, mother, grandmother, Finance Director, AND totally fed up with the direction our country is headed.",1402,1940,Alaska,,1,0.265,0.0625,0.0,positive,0.0,0.0
11,712410840503222272,Long waits suggest big Arizona primary turnout https://t.co/5cHkMggUhA via @usatoday #Arizona #vote,0,1,Twitter Web Client,2016-03-22 22:49:14,151563607,EdnaPinky,Edna Liza,2010-06-03 18:05:40,"Born & raised in LA.I love my City of Angels. Student, I love Photography, Art, Politics, Debates.",741,1934,"Alaska, USA",Arizona,2,0.127,0.426495726496,0.123504273504,negative,0.437051282051,0.0585042735043
12,712409184378212352,Hillary Clinton takes first Alaska questions -- from an Anchorage pop radio station https://t.co/eyMvLTLEJ9,0,1,Facebook,2016-03-22 22:42:40,2837404280,AKPoliticalBeat,APE Online,2014-10-02 01:18:01,,91,246,Alaska,,0,1.0,0.0257936507937,0.00992063492063,positive,0.104166666667,0.0
13,712408770077265920,RT @JoshSchwerin: Hillary Clinton statement on terrorist attacks in Brussels https://t.co/uMyupclR4R,129,0,Twitter for iPad,2016-03-22 22:41:01,32820396,alaskawater,JaniceImWithHer,2009-04-18 07:05:42,"Tina, Angela, Steven, and Alison's Mom I BLOCK #Trolls proud to be blocked by @realDonaldTrump BSN Pubic health. #facts. don't piss on my leg & say it's raining",1513,2262,Alaska,,0,1.0,0.0,0.0,positive,0.0,0.0
14,712406999460409344,"Retweeted #Q13FOX (@Q13FOX):

WATCH LIVE: Hillary Clinton at Puyallup's Chief Leschi &gt;&gt;&gt; https://t.co/OwyTKIKh4B https://t.co/eHmdtsXiU9",0,0,Facebook,2016-03-22 22:33:59,90613781,swensonmember,Mark Kim Marion,2009-11-17 11:53:49,Alaska Reporter for Anchorage 12th man media for Wilson NW Media.  @Seahawks and @NFL reporter supports Spokane's 8th man #Anch12thman,8003,8372,Alaska and Washington State ,Alaska,1,0.265,0.0,0.0,positive,0.0,0.0
15,712406969961676800,RT @Q13FOX: WATCH LIVE: Hillary Clinton at Puyallup's Chief Leschi &gt;&gt;&gt; https://t.co/ZGefqKfZl7,4,0,Twitter for Android,2016-03-22 22:33:52,90613781,swensonmember,Mark Kim Marion,2009-11-17 11:53:49,Alaska Reporter for Anchorage 12th man media for Wilson NW Media.  @Seahawks and @NFL reporter supports Spokane's 8th man #Anch12thman,8003,8372,Alaska and Washington State ,Alaska,0,1.0,0.0,0.0,positive,0.0,0.0
