,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone,tweetHashtagCt,Weight,positiveness,negativeness,sentiment_label,pos_adj,neg_adj
0,710978909332869120,RT @FishmanLevine: Gloves Are Off: Trump Accuses Hillary Clinton of “Corruption Most of Her Professional Life” https://t.co/BzJBElDSDm via …,75,0,Twitter for Android,2016-03-18 23:59:15,629583217,marcsteiner111,marcsteiner111,2012-07-07 19:20:00,"lib. smashing Obama bashing Conservative , AZ Trucker , avid listener of Hannity and Dr michael Savage radio shows.... #TCOT",2754,2615,"Arizona desert,  ",Arizona,0,1.0,0.0913461538462,0.0,positive,0.0,0.0
1,710978850625196032,Blog: Chelsea Clinton reveals her mom thinks it is ‘important’ to extend Obamacare to illegal aliens https://t.co/TD8k7XMv0j,4,1,Twitter Web Client,2016-03-18 23:59:01,125128428,amronsomar,Norma  Ramos,2010-03-21 19:57:06,"All the latest in my endeavors to find something to do besides work ~ie~Twitter. etc.~Registered INDEPENDENT~~ Prolife,Teaparty,The  CONSTITUTION RULES",14789,15192,Arizona/Central Calif,Arizona,0,1.0,0.187641402715,0.00344079939668,positive,0.0,0.0
2,710978390887522304,RT @CarlyFiorina: I ran for president because I believe it is time to take our country back from Washington. https://t.co/GqCHyBbW2L,756,0,Twitter for iPhone,2016-03-18 23:57:12,17904365,Candice_AZ,Candice,2008-12-05 18:45:36,Christian. Desert explorer and lover of Ridgebacks. Ardent conservative. Occasional storm chaser and geomorphology photographer.,1683,1951,"Mesa, Arizona",Arizona,0,1.0,0.183995205337,0.0360530391018,negative,0.0,0.0416666666667
3,710978108371808256,RT @realDonaldTrump: Hillary Clinton has been involved in corruption for most of her professional life!,14568,0,Twitter Web Client,2016-03-18 23:56:05,382483879,EMichaelGannon,E Michael Gannon,2011-09-30 04:37:25,Summarize myself in fewer than 160 characters? You've got to be kidding!,31,67,"Scottsdale, Arizona",Pacific Time (US & Canada),0,1.0,0.14228600347,0.0263157894737,positive,0.125,0.0
4,710977971071414272,RT @freedomforusnow: Kasich would like voters to forget! Letter from Clinton thanking Kasich for his support of assault weapons ban. https:…,113,0,Twitter for Android,2016-03-18 23:55:32,2263754155,rhUSMC,rh,2013-12-27 04:08:27,"God  Country  Corps 
 Semper Fi    RIGHT   NO BS",1103,933,"Arizona, USA",,0,1.0,0.43125,0.09375,positive,0.1875,0.015625
5,710977849998573571,RT @VanityFair: The Clooneys are going up against Trump by hosting two fund-raisers for Hillary Clinton https://t.co/m9s1qFgNBy https://t.c…,217,0,Twitter for iPhone,2016-03-18 23:55:03,6419872,paulvalach,paul valach,2007-05-29 16:52:18,Snooze time. But businesses should not snooze. Setup things to happen as many places are waking up in a few hours. I can help with that. Checkout or bios every…,4623,4565,"ARIZONA, The Wild Wild West",Arizona,0,1.0,0.0399572649573,0.00138888888889,positive,0.0729166666667,0.510416666667
6,710977801755623424,"RT @PolarWhut: I hope Chelsea Clinton doesn't ever seek political office.
She's as rotten as her mother.  https://t.co/PlCpYVuSfF",4,0,Twitter for iPhone,2016-03-18 23:54:51,301212396,TigCook,Ticook,2011-05-19 02:35:01,"Conservative/patriotic/Catholic/hispanic woman who follows Rush Limbaugh, Donald Trump, Ted Cruz, Sarah Palin and Mark Levin.",1584,1260,Arizona,Hawaii,0,1.0,0.304807692308,0.435897435897,negative,0.0,0.416666666667
7,710977474163650560,"RT @maryaliceparks: New jab from @BernieSanders -- On Donald Trump (and Clinton) ""He is not my good friend... in fact I never even went to …",203,0,Twitter for Android,2016-03-18 23:53:33,184973716,zerocool0019,Amy,2010-08-30 23:09:49,overall awesome woman,145,262,"Northern Arizona, USA",Arizona,0,1.0,0.659004884005,0.00138888888889,positive,0.694047619048,0.025
8,710977395755327489,https://t.co/6LjJf69sS3  At this point who's the Republican candidate is irrelevant. Hillary Clinton will be the next president,0,0,Twitter for Android,2016-03-18 23:53:15,4745216682,stevesilver72,Steve Silver,2016-01-11 22:50:26,"I say what I think with no regard for political correctness. If you can't handle the truth that's your problem. You can't offend me, don't even try.",31,93,"Arizona, USA",,0,1.0,0.0576923076923,0.666666666667,positive,0.0,0.0416666666667
9,710977271197278209,"NSA refused Clinton a secure BlackBerry like Obama, so she used her own https://t.co/mmSpfR24Bx #Tech, #Technology… https://t.co/RWjJIGBTpr",0,0,IFTTT,2016-03-18 23:52:45,4859736433,cts_arizona,CTS Arizona,2016-02-04 16:19:37,"Arizona Computer, IT, and Network Services
https://t.co/je2hl00MTb",779,782,"Arizona, USA",,2,0.127,0.0833333333333,0.125,positive,0.4,0.116458333333
10,710975061058985984,RT @realDonaldTrump: Hillary Clinton has been involved in corruption for most of her professional life!,14568,0,Twitter for Android,2016-03-18 23:43:58,15238891,zaphraud,An ancient alien,2008-06-26 01:20:10,"''Carbon Dating, As Deep As They Go'' -Linda Moulton Howe",256,161,"Arizona, USA",Arizona,0,1.0,0.14228600347,0.0263157894737,positive,0.125,0.0
11,710975044936032256,RT @CarlyFiorina: Ted Cruz is a leader and a reformer who isn’t afraid to ruffle feathers when he is fighting for the American people. http…,674,0,Twitter for Android,2016-03-18 23:43:54,610247272,swwithkids,Scott-haz Wilson,2012-06-16 20:08:05,"Tlááshchí'í • Tó dichíini • Tóbąąhí • Tłízíłání • Tonalea, AZ 
• Zurvita Independent Consultant • Zeal For Life",279,728,"Phoenix, Arizona",,0,1.0,0.102831196581,0.0208333333333,positive,0.0,0.59375
12,710974444492050432,"RT @KamVTV: FABER: Clinton 'will destroy whole world'...
#Trump2016 #AZPrimary #UTCaucus 
https://t.co/3AQJcclpQf",94,0,Twitter for Android,2016-03-18 23:41:31,4304419334,worldgoneweird,jc,2015-11-20 20:14:09,"Christian I love  America and what it really stands for..none of that let everyone in crap.  I specialize in geneology US, France and Britain",759,940,"Arizona, USA",,3,0.063,0.127083333333,0.133333333333,positive,0.116666666667,0.00833333333333
13,710973989577863168,"RT @vfroe: Kasich,( I'm the only one that can beat Hillary) Clinton, John you won your home state barely, thats your power punch,",3,0,Mobile Web (M2),2016-03-18 23:39:43,19750596,jlsemmel,Janice Semmel,2009-01-30 02:50:32,"Arizona writer, copy editor & photographer. ASU alumna.",2351,2340,"Phoenix, Arizona",Arizona,0,1.0,0.221467391304,0.0108695652174,negative,0.139285714286,0.675
14,710973673616769024,"RT @CarlyFiorina: If we judge a leader on his record, we know what Trump will do: use public power for private gain. https://t.co/GqCHyBbW2L",1414,0,Twitter Web Client,2016-03-18 23:38:27,16695183,DVOnAZ,Dan,2008-10-11 11:32:48,"Christian, Voice over artist, Krav Maga activist, and just a guy with an opinon. RT & Follow doesn't imply agreement...",470,1372,Arizona,Arizona,0,1.0,0.380754662005,0.112980769231,positive,0.03125,0.09375
15,710972990704340993,"I agree time for @realDonaldTrump to focus on Clinton Only, Please Mr Trump @EricTrump stopname calling https://t.co/Q23GR723m4",1,5,Twitter for Android,2016-03-18 23:35:44,111008993,Agent4Health,Jeanine Brown,2010-02-03 14:16:00,#insuranceagent@HelpUNavigate #FreeHelp #Author,708,591,"Phoenix, Arizona",Pacific Time (US & Canada),0,1.0,0.33112244898,0.0102040816327,positive,0.0,0.0
16,710972676865568768,"RT @tammytabby: Huckabee: Trump is Clinton's 'worst nightmare'
https://t.co/hh0Rv8wGS4 https://t.co/QUqOlhePJy",16,0,Twitter Web Client,2016-03-18 23:34:30,19921268,SharNeal,Sharon Andreas,2009-02-02 18:32:11,I love  Rock  Roll and volunteer at animal shelter - rescue is hard but so rewarding too- I am conservative & love our constitution-want America Great Again,7107,7815,Arizona USA,Pacific Time (US & Canada),0,1.0,0.0288461538462,0.0,negative,0.0,0.0
17,710971843444736001,RT @VanityFair: The Clooneys are going up against Trump by hosting two fund-raisers for Hillary Clinton https://t.co/m9s1qFgNBy https://t.c…,217,0,Twitter for Android,2016-03-18 23:31:11,22846618,lehimesa,lehi,2009-03-04 22:33:48,artist mom granny wife teacher caretaker mule friend farm worker cat herder dog lover bird watcher voter. Pres Obama will be in history books forever!,4827,5310,arizona,Pacific Time (US & Canada),0,1.0,0.0399572649573,0.00138888888889,positive,0.0729166666667,0.510416666667
18,710971670551334913,"RT @IanSams: Arizona Republic endorsement: Clinton ""has the mettle to be president. The sound judgment to be commander in chief."" https://t…",93,0,Twitter for Android,2016-03-18 23:30:30,22846618,lehimesa,lehi,2009-03-04 22:33:48,artist mom granny wife teacher caretaker mule friend farm worker cat herder dog lover bird watcher voter. Pres Obama will be in history books forever!,4827,5310,arizona,Pacific Time (US & Canada),0,1.0,0.553671839856,0.0263157894737,positive,0.486111111111,0.0
19,710971531841548288,RT @TheLibertyEagle: Watch: Breitbart’s Adelle Nazarian Responds to Hillary Clinton’s Libya ‘Gaffe’ https://t.co/UVIWdY3KRf https://t.co/X9…,1,0,Twitter Web Client,2016-03-18 23:29:57,19921268,SharNeal,Sharon Andreas,2009-02-02 18:32:11,I love  Rock  Roll and volunteer at animal shelter - rescue is hard but so rewarding too- I am conservative & love our constitution-want America Great Again,7107,7815,Arizona USA,Pacific Time (US & Canada),0,1.0,0.0,0.0,positive,0.0,0.0
20,710970615365128192,RT @HAGOODMANAUTHOR: #FeelTheBern https://t.co/9NA0JhBPfj H. A. Goodman YouTube The Case for Writing-In Bernie Sanders if Hillary Clinton i…,16,0,Twitter for Android,2016-03-18 23:26:18,3900528260,jenny_nalley,Jenny Nalley,2015-10-15 07:50:38,Gen X Mom. Environmentalist. Humanist. Atheist. Independent. Progressive. #Sanders2016 #BernieOrBust  #iVoted (Early!) #Arizona I follow most Berners.,1281,2351,"Arizona, USA",,1,0.265,0.0,0.0,positive,0.0,0.0
21,710969814471155712,"Hillary (""What difference does it Make?"") Clinton | #politics #mobile #photos | https://t.co/hJTzIm2WEa | via https://t.co/02wO2PyQUJ #wm",0,0,Twitter Web Client,2016-03-18 23:23:07,59912234,WEBmover,WEBmover,2009-07-24 22:57:25,News Site Aggregator ~ All the News - All the Time - Automated Tweet Lists - Conservative commentary - Thought Provoking articles - Blogger - more...,1126,1801,Arizona / California,Arizona,4,0.033,0.100726059655,0.0203240636914,positive,0.0,0.0
22,710969379945455616,"RT @timjhogan: Former President @BillClinton, the only Democrat to carry Arizona since 1948, will stump Sunday in Phoenix &amp; Tucson. https:/…",88,0,Twitter for Android,2016-03-18 23:21:24,22846618,lehimesa,lehi,2009-03-04 22:33:48,artist mom granny wife teacher caretaker mule friend farm worker cat herder dog lover bird watcher voter. Pres Obama will be in history books forever!,4827,5310,arizona,Pacific Time (US & Canada),0,1.0,0.0140625,0.0953125,positive,0.0,0.0
23,710969126550777861,"RT @DavidLimbaugh: It’s premature, anyway, to talk about voting for Trump over Clinton. It’s far from over yet. I am a couple billion perce…",105,0,Hootsuite,2016-03-18 23:20:23,99357242,Torahlawform,Torah Lawform,2009-12-25 20:44:31,Passionate about the law form of Torah and Database development.,19,47,Arizona,Arizona,0,1.0,0.0288461538462,0.0,positive,0.84375,0.0
24,710968917838049281,"RT @rockportbasset: The Clinton Foundation Is an outrageus scam, and ought to be invesitgated https://t.co/wErUSlrzPt",7,0,Twitter for iPad,2016-03-18 23:19:33,537602851,AZ_Susan,SusanD,2012-03-26 22:09:25,"Conservative Christian, Retired RN. Traveler/writer, consultant, #31gifts #healthy #nutrition #Jesus #pray #pets, #veterans, #police, #Israel #love ❤️ to RT",7742,5694,Arizona,America/Denver,0,1.0,0.0576923076923,0.0,positive,0.0,0.0
25,710968736774107136,"RT @FOX10Phoenix: FYI: Location info for Cruz, Trump, Sanders, and Clinton Phoenix area rallies in the next three days. https://t.co/tcFGQR…",15,0,Twitter for iPhone,2016-03-18 23:18:50,216198230,moexmarley,-,2010-11-16 01:18:34,Eat my shorts.,1298,420,"Arizona, USA",Pacific Time (US & Canada),0,1.0,0.0,0.0416666666667,positive,0.0,0.0416666666667
26,710968179384655873,RT @thehill: Clinton celebrates 1 million donors -- as Sanders boasts 2 million https://t.co/nGRcDdDSIH https://t.co/XCs84M18Ps,58,0,Twitter for iPad,2016-03-18 23:16:37,4550840832,KSP_Collins,Sean Collins,2015-12-13 22:18:44,"indie film maker & Screen write, Catholic democratic (Sanders2016), movie geek, game dev, kind of a pretentious person",1049,1779,Arizona,,0,1.0,0.3125,0.0,positive,0.0,0.25
27,710967404486991872,"@SimoneReports @ChiariGirl357 @raymcgovern @RT_America According to Hillary Clinton: ""Business Opportunity""",0,0,Twitter for Android,2016-03-18 23:13:33,3900528260,jenny_nalley,Jenny Nalley,2015-10-15 07:50:38,Gen X Mom. Environmentalist. Humanist. Atheist. Independent. Progressive. #Sanders2016 #BernieOrBust  #iVoted (Early!) #Arizona I follow most Berners.,1281,2351,"Arizona, USA",,0,1.0,0.0625,0.0,positive,0.0,0.0
28,710967161867669504,"FOX10Phoenix: FYI: Location info for Cruz, Trump, Sanders, and Clinton Phoenix area rallies in the next three days. https://t.co/bKyhSB0APn",0,0,IFTTT,2016-03-18 23:12:35,703603733092044800,JamesWyseAZ,Arizona 100,2016-02-27 15:32:57,"https://t.co/x7IxYgBLtS Celebrating #Arizona over the last #100years. Proudly promoting #tourism, #localbusiness, #localnews and #sportsnews",36,13,"Arizona, USA",Pacific Time (US & Canada),0,1.0,0.0,0.0416666666667,positive,0.0,0.0416666666667
29,710966465185259523,"RT @TnGovern: @Bernie_Facts @djred678 IBTimes is a joke! David Sirota’s purposely inaccurate reporting regarding Hillary Clinton.
https://t…",10,0,Twitter for Android,2016-03-18 23:09:49,22846618,lehimesa,lehi,2009-03-04 22:33:48,artist mom granny wife teacher caretaker mule friend farm worker cat herder dog lover bird watcher voter. Pres Obama will be in history books forever!,4828,5310,arizona,Pacific Time (US & Canada),0,1.0,0.112179487179,0.625,positive,0.0,0.625
30,710964288622493697,"Phoenix, Arizona: Hillary Clinton to hold public event at Phoenix school Monday - Tucson News Now https://t.co/YpArIYCnPn",1,1,dlvr.it,2016-03-18 23:01:10,21913372,PhoenixArizona,Phoenix Arizona,2009-02-25 20:24:37,"What is happening in Phoenix, Arizona?",6661,2,"Phoenix, Arizona",Arizona,0,1.0,0.0459104938272,0.0648148148148,positive,0.0,0.0625
31,710963298443796480,"RT @PJStrikeForce: No, Bill #CLINTON We WONT Stop!
#AllLivesMatter 
#OhHillNo To #hillary
No More #Clintons
#Unite Against The Enemy 🇺🇸 htt…",192,0,Twitter for iPad,2016-03-18 22:57:14,95461418,HarryB_inAZ,HarryB in Arizona,2009-12-08 17:19:55,Small government is best. Character and personal responsibility matter. It takes a sense of humor to enjoy life. F1 used to be real racing. #thePPL,684,1063,"Yavapai County, Arizona",Arizona,6,0.009,0.0,0.0,positive,0.0,0.0
