,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone,tweetHashtagCt,Weight,positiveness,negativeness,sentiment_label,pos_adj,neg_adj
0,710978867767287808,"This works for me. I'd rather kick out the #GOPe who wont back Cruz or Trump, bt it's yer vote. @Scully64 @SherriWilkie @realDonaldTrump",0,0,Twitter Web Client,2016-03-18 23:59:06,788255594,djaznh,deb-az,2012-08-29 01:28:18,"Veteran Former DNC member who wandered out of the fog.. Republican by definition, not, GOP. Support #TedCruz2016  #CruzCrew #Prolife",2100,2071,Arizona and New Hampshire,,1,0.265,0.0296296296296,0.0974537037037,negative,0.0,0.279166666667
1,710978576841969666,"RT @BlissTabitha: After Running Ads for Marco and Kasich, Mitt Romney Will Vote for Ted Cruz in Utah https://t.co/vbuuSaf9kH",21,0,Twitter for Android,2016-03-18 23:57:56,629583217,marcsteiner111,marcsteiner111,2012-07-07 19:20:00,"lib. smashing Obama bashing Conservative , AZ Trucker , avid listener of Hannity and Dr michael Savage radio shows.... #TCOT",2753,2615,"Arizona desert,  ",Arizona,0,1.0,0.00435540069686,0.0261324041812,positive,0.0,0.0
2,710978390887522304,RT @CarlyFiorina: I ran for president because I believe it is time to take our country back from Washington. https://t.co/GqCHyBbW2L,756,0,Twitter for iPhone,2016-03-18 23:57:12,17904365,Candice_AZ,Candice,2008-12-05 18:45:36,Christian. Desert explorer and lover of Ridgebacks. Ardent conservative. Occasional storm chaser and geomorphology photographer.,1683,1951,"Mesa, Arizona",Arizona,0,1.0,0.183995205337,0.0360530391018,negative,0.0,0.0416666666667
3,710978375309877248,RT @collectdollsale: MIT ROMNEY IS EVIL AND PLAYS EVIL GAMES! DUMP THE ESTABLISHMENT AND THEIR PUPPETS CRUZ &amp; KASICH BOUGHT &amp; PD FOR! https…,2,0,Twitter for Android,2016-03-18 23:57:08,227474177,BSVLMJ,Bertha,2010-12-16 23:01:34,"BA/Linguistics. English/French/Spanish. Love all animals & my dogs Conrado, Lassie, Camilla, Susie-Q, Mathilda, Peggy. *QiGong, History, Classical music.",3080,2574,"Arizona, USA",Arizona,0,1.0,0.0,0.0,positive,0.0,0.0
4,710978359967162369,"RT @JeffSmithMO: Based on taking the temp of various ppl around the state, I'm feeling two upsets in MO tmrw - Bernie (thx to StLCo.) and C…",69,0,Twitter for iPhone,2016-03-18 23:57:05,596311249,AntBejarano,Anthony Bejarano,2012-06-01 09:44:43,Liberal politico. Film buff faker. Thinks too much for own good. Organizer @GenProgress. PoliSci/History @EACmonsters. Knowledge Bowl Supreme. #Hillary2016,821,2091,"#AZ01 | Thatcher, Arizona",Arizona,0,1.0,0.122748778999,0.17177960928,negative,0.677083333333,0.145833333333
5,710978001022820352,👍👍 RT @DivineMoments: #Trump favorables are surging.. They are ahead of Cruz. #LouDobbs,1,1,TweetCaster for Android,2016-03-18 23:55:39,32816955,PamCeeInAz,PamCeeInAz,2009-04-18 06:42:50,"Proud American; Cooking show junkie! Proud Packers Fan, AZ Coyotes Fan; formerly known as @ PamYotesFan; married to @desertrat214",2165,2223,"Arizona, USA",Arizona,2,0.127,0.0576923076923,0.0,positive,0.0,0.0
6,710977395755327489,https://t.co/6LjJf69sS3  At this point who's the Republican candidate is irrelevant. Hillary Clinton will be the next president,0,0,Twitter for Android,2016-03-18 23:53:15,4745216682,stevesilver72,Steve Silver,2016-01-11 22:50:26,"I say what I think with no regard for political correctness. If you can't handle the truth that's your problem. You can't offend me, don't even try.",31,93,"Arizona, USA",,0,1.0,0.0576923076923,0.666666666667,positive,0.0,0.0416666666667
7,710977046973812736,RT @tedcruz: Getting a firsthand account of challenges facing law enforcement at Arizona/Mexico border https://t.co/B9NC3eJOvd https://t.co…,1089,0,Twitter for iPhone,2016-03-18 23:51:51,17904365,Candice_AZ,Candice,2008-12-05 18:45:36,Christian. Desert explorer and lover of Ridgebacks. Ardent conservative. Occasional storm chaser and geomorphology photographer.,1683,1951,"Mesa, Arizona",Arizona,0,1.0,0.0173611111111,0.123263888889,positive,0.0,0.0
8,710976963444211712,"RT @drewwyatt: 💥GOPe Endorsement Of Cruz Confirms Trump Is The Only One Who Can't Be Bought.

#Trump2016 
👉https://t.co/71O6E6aOcP https://…",485,0,Twitter for Android,2016-03-18 23:51:32,2263754155,rhUSMC,rh,2013-12-27 04:08:27,"God  Country  Corps 
 Semper Fi    RIGHT   NO BS",1105,933,"Arizona, USA",,1,0.265,0.0288461538462,0.0,positive,0.0,0.0
9,710976627140796416,I'm gonna be @ school on Monday and be like Cruz guess what I got,0,0,Twitter for Android,2016-03-18 23:50:11,1275808309,AMochi1212,Abbie Mochi,2013-03-17 19:25:55,"I talk about Steven Universe, Xenoblade, and Zero Escape alot. @mochiora1 is my art account! My redbubble store: https://t.co/OgAI1gKSU5",148,140,Arizona,Arizona,0,1.0,0.0854700854701,0.0538194444444,negative,0.1875,0.015625
10,710976595058495489,@UTHornsRawk @ElishivaAhmose @MittRomney What a looser campaigning with kasich(a looser) and voting in utah for ted cruz(another looser)...,5,8,Twitter for Android,2016-03-18 23:50:04,629583217,marcsteiner111,marcsteiner111,2012-07-07 19:20:00,"lib. smashing Obama bashing Conservative , AZ Trucker , avid listener of Hannity and Dr michael Savage radio shows.... #TCOT",2753,2615,"Arizona desert,  ",Arizona,0,1.0,0.025,0.0,positive,0.0,0.0
11,710975790310039553,RT @OutFrontCNN: Mitt Romney says he will vote for Ted Cruz in Utah https://t.co/nKdAsuWe2k @SaraMurray has more. https://t.co/YXV0vQwt6r,10,0,Twitter for iPhone,2016-03-18 23:46:52,66869447,BlakeCumbie,Blake Cumbie,2009-08-19 01:32:40,#FeelTheBern,20765,835,Arizona State University,Central Time (US & Canada),0,1.0,0.0462320574163,0.0263157894737,positive,0.0,0.0
