,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone,tweetHashtagCt,Weight,positiveness,negativeness,sentiment_label,pos_adj,neg_adj
0,710978966396362752,The calvary has arrived to the Trump rally in slc https://t.co/XtOqL5BWDM,0,0,Twitter for Android,2016-03-18 23:59:29,44925165,donMiguelSLC,Michael Clára,2009-06-05 16:06:51,Michael Clára: Salt Lake City Board of Education; District 2. THIS IS NOT THE OFFICIAL TWITTER FOR THE Salt Lake City School District OR the BOE.,583,1565,"Salt Lake City, Utah, USA",Mountain Time (US & Canada),0,1.0,0.00986842105263,0.0263157894737,positive,0.0,0.0
1,710978926231719937,@RussellSaunder1 President Trump is going to put you in a reeducation camp for this tweet.,0,0,Twitter for iPhone,2016-03-18 23:59:20,17170942,WeTheLiving,Jennifer,2008-11-04 22:18:07,The mountains are calling. I must go. - John Muir,223,315,"Salt Lake City, Utah",Pacific Time (US & Canada),0,1.0,0.0538461538462,0.00138888888889,positive,0.0,1.0
2,710978806903808000,"RT @thehill: JUST IN: Fox News blasts Trump's ""extreme, sick obsession"" with Megyn Kelly https://t.co/o3LclT6zb9 https://t.co/HfFrLBtRY3",129,0,Twitter for iPhone,2016-03-18 23:58:51,78074546,Cdewittbrown,Chase Brown,2009-09-28 17:48:34,Is this thing on? Hello?!,226,651,"Orem, Utah, USA",Mountain Time (US & Canada),0,1.0,0.0297619047619,0.504166666667,positive,0.0297619047619,0.416666666667
3,710978475427954688,RT @mattcanham: Among attendees at the Trump rally is Utah House Speaker Greg Hughes. #utpol,25,0,Twitter for Android,2016-03-18 23:57:32,321715990,PortlandUte,The Missing Umlaut,2011-06-22 01:04:50,Guarding the cave of knowlege,1131,657,Utah,Mountain Time (US & Canada),1,0.265,0.0288461538462,0.0,positive,0.0,0.0
4,710978331353550848,RT @JohnKasich: .@cbs says @JohnKasich is the ONLY candidate who can stop Trump. See why: https://t.co/sKXGWvSmQV,130,0,Twitter for iPhone,2016-03-18 23:56:58,458027828,zundellewis,TeamLewis,2012-01-08 03:10:42,University of Utah,32,68,Utah ,Hawaii,0,1.0,0.0777097902098,0.0464962121212,positive,0.0,0.0
5,710978317969526784,Ugh. Last thing I want to hear while walking my dog is trump voice,0,1,Twitter for Android,2016-03-18 23:56:54,16148047,sarah_jwh,Another Sarah,2008-09-05 19:21:33,#toastietwitter #quilter #TrixieMcPixie,321,386,"Utah, USA",Mountain Time (US & Canada),0,1.0,0.101068376068,0.241666666667,negative,0.5,0.0
6,710978190454366209,RT @glennbeck: An end to political correctness.Trump can consult himself. But Cruz is taking the Muslim brotherhood head on. https://t.co/g…,510,0,Twitter for Android,2016-03-18 23:56:24,225276223,jarinwolfley,Jarin,2010-12-11 05:12:04,Liberty. Unity. Charity.,39,35,Utah,Mountain Time (US & Canada),0,1.0,0.0546398046398,0.00992063492063,positive,0.625,0.0
7,710978183550541825,"RT @MikeyPanda: Speeches at the #Trump protest have been pushed to 6:15 p.m. There's ~40 people here, a block from Trump's rally. https://t…",2,0,TweetDeck,2016-03-18 23:56:22,15369276,sltrib,Salt Lake Tribune,2008-07-09 19:28:55,"News from The Salt Lake Tribune, Utah's largest newspaper. Get breaking news, sports and more here and at http://t.co/m8EPmq6A7J. RT ≠ endorsement",80285,1302,"Salt Lake City, Utah",Mountain Time (US & Canada),1,0.265,0.0512145748988,0.0638157894737,negative,0.0,0.0
8,710977927953842176,"@Kent_in_Utah So your accusation of Trump is one of  reckless abandon and apathy, whereas with Clinton it's not?",0,0,Twitter for Android,2016-03-18 23:55:22,44204893,4hill2015,Terrell Williams,2009-06-02 20:50:46,"LDS. BYU Sports-Writer, Reporter for https://t.co/2XG94gM9qu. BYU Recruiting, Football, Basketball, news, hoops, FWAA Member.",7761,5308,Orem Utah,Mountain Time (US & Canada),0,1.0,0.0288461538462,0.75,positive,0.139285714286,0.8
9,710977926238306304,"RT @CantStumpTrump1: Hulk Hogan killed Gawker and Donald J. Trump is about to save Western Civilization.  America is back, lads. https://t.…",230,0,Twitter for Android,2016-03-18 23:55:21,4074739939,ZackrisonGeorge,George Zackrison,2015-10-31 01:46:03,"@_rachiepie is mine, student at the University of Utah, #TRUMP2016",41,106,"Utah, USA",Pacific Time (US & Canada),0,1.0,0.133558108558,0.133982683983,positive,0.0,0.0
