,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone,tweetHashtagCt,Weight,positiveness,negativeness,sentiment_label,pos_adj,neg_adj
0,716052272333979649,"Tuning into to watch #inners to see another replay of Trump and Matthews for the millionth time, move on! Men have no say in our choice!",2,3,Twitter Web Client,2016-04-01 23:58:59,277845186,jacqui4peace,☮JacquiUpNorth☮,2011-04-06 04:29:52,"Progressive Dem,Wife,Mom,USAF Mom, I LOVE #OBAMA won't tolerate people who bash him. #Springsteen #Maddow #Packers #Peace #ImWithHer #NeverBernie",1763,1484,Way up north Wisconsin ,Central Time (US & Canada),1,0.265,0.312993421053,0.0318217418546,positive,0.0,0.125
1,716051938501009408,"RT @AdamSilvera: If I were J.K. Rowling, I'd use my powers for good and promise a new Harry Potter novel if Trump isn't elected president.…",472,0,Twitter for iPhone,2016-04-01 23:57:40,165289560,onezenkat,Kathryn Thoms,2010-07-11 04:24:24,Writer. Keeper of miniature humans.  Whovian. Runner. Geek. Powered by work & well caffeinated optimism.,458,593,"Wisconsin, USA",,0,1.0,0.837995337995,0.0487012987013,positive,1.13446969697,0.0487012987013
2,716051582324834304,"RT @patrickdmarley: .@GovWalker says it will be ""a lot easier"" to support nominee if it is @tedcruz but doesn't directly address whether he…",3,0,Twitter for iPhone,2016-04-01 23:56:15,15207885,cmowley,candice owley,2008-06-23 15:02:04,Health care labor leader. Nurse activist.,266,192,"Bay View, Wisconsin USA",Central Time (US & Canada),0,1.0,0.155681818182,0.0305944055944,positive,0.0,0.0
3,716051561873481729,Scott Walker: 'High-risk proposition' for Donald Trump to assail my record https://t.co/zAdOv2BeTL,0,0,dlvr.it,2016-04-01 23:56:10,15752446,WiStateJournal,Wis. State Journal,2008-08-06 17:28:34,"#Madison's largest reporting team. The best source for news, analysis and features about #Wisconsin business, politics, crime, entertainment, sports and more!",45412,20596,"Madison, Wisconsin",Central Time (US & Canada),0,1.0,0.0,0.125,positive,0.0,0.0
4,716051472283262976,"Andrew Jackson would shoot you if you insulted his wife, our president was a murderer. Fact. Now go vote for Trump and stop being a baby.",3,3,Twitter for Android,2016-04-01 23:55:49,53409654,BigJBeezy,John Leksander,2009-07-03 15:12:50,"Recording artist, Owner/Operator LeksIII Productions/Construction, Executive Contributor uHeartRadio, Global Radio DJ, Father of 4 Ladies, #Trump2016",12625,8727,WIsconsin,Central Time (US & Canada),0,1.0,0.0688034188034,0.221843434343,positive,0.25,0.0
5,716051262240854016,"RT @benshapiro: Trump on Wed: Law should punish women for abortion.
Thurs: Law should punish abortionists.
Fri: Law should stay how it is.…",1640,0,Twitter Web Client,2016-04-01 23:54:59,283622983,longlakejohn,longlakejohn,2011-04-17 17:28:15,"USN,  Nam- Vet, Constitutional Conservative, Married Christian, NRA, States Rights, Friend of Bill W.  AMERICAN PATRIOT",2640,2636,Wisconsin,Central Time (US & Canada),0,1.0,0.00568181818182,0.0170454545455,positive,0.0,0.0
6,716051206469263360,RT @billmaher: Just watched the adult who is our current president discuss the grave issue of nukes...and then think if it was President Fo…,2631,0,Twitter for iPhone,2016-04-01 23:54:45,185503887,DanLarsen88,Dan Larsen,2010-09-01 04:07:19,History will be kind to me for I intend to write it. -Winston Churchill,123,517,Wisconsin USA,Central Time (US & Canada),0,1.0,0.271634615385,0.381066849817,positive,0.25,0.375
7,716051019701096448,"RT @benshapiro: Trump on Wed: Law should punish women for abortion.
Thurs: Law should punish abortionists.
Fri: Law should stay how it is.…",1640,0,Twitter for iPhone,2016-04-01 23:54:01,2362831658,SchachtNathan,Nathan Schacht,2014-02-26 15:24:05,Father. Husband. Catholic. Conservative. Former aide to @PRyan & @RepDaveCraig. Former writer @mediatrackers. Wisconsin Born & Raised. #NeverTrump,31629,15581,Southeastern Wisconsin,Central Time (US & Canada),0,1.0,0.00568181818182,0.0170454545455,positive,0.0,0.0
8,716050925459283968,"30,000 striking Chocago teachers and supporters just marched downtown Chicago. When they passed Trump tower they... https://t.co/ov9D3jVoCG",0,0,Facebook,2016-04-01 23:53:38,379885122,OccupyMilwaukee,Occupy Milwaukee,2011-09-25 18:35:01,,7816,36,"Milwaukee, Wisconsin",Pacific Time (US & Canada),0,1.0,0.009,0.0298571428571,positive,0.875,0.0
9,716050887341268993,"""Trump is probably the most pro-choice pro-life person probably ever. Believe me. Ever."" - Trump",0,0,Twitter for Android,2016-04-01 23:53:29,298346276,uwdrew,Drew,2011-05-14 04:42:12,Conservative. Horrible Person. Will RT any and all praise.,120,575,"Milwaukee, Wisconsin",Central Time (US & Canada),0,1.0,0.153846153846,0.25,positive,0.0,0.25
