,Unnamed: 0,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone,tweetHashtagCt,Weight
1,1492,714601617606086657,RT @SykesCharlie: Wisconsin must be a fire wall of rationality in the madness that is the current GOP campaign.   https://t.co/pZQNUJeXir v…,659,0,Twitter Web Client,2016-03-28 23:54:36,564824282,EB_imconfus,EB #CruzCrew,2012-04-27 18:38:54,Praying 4 America & world that needs her strong #Cruz  #Constitutional #Conservative #MarineBrat Follow by @COSProject @DineshDSouza  @ChuckNellis @ChrisLoesch,8703,9149,"North Dakota & Wisconsin, USA",Pacific Time (US & Canada),0,1.0
2,4802,714598774396428288,RT @SarahKSilverman: Ted Cruz is a twat. Using God as a shroud to justify bigotry. Jesus wouldn't like you one bit Boo https://t.co/WmmI35O…,1755,0,Twitter for iPhone,2016-03-28 23:43:19,193109670,thenewKendra,Kendra Jo,2010-09-21 00:20:23,"Vegetarian, College student for the 3rd time, Lesbian, hard worker, Buddhist, and all around kick ass person!",70,381,North Dakota,Pacific Time (US & Canada),0,1.0
3,5552,714598174921338880,RT @LifeNewsHQ: @s47078819 Cruz has a 100% pro-life voting record.,4,0,Twitter for Android,2016-03-28 23:40:56,4096882880,60Gunnerjohn,jpc,2015-11-02 01:56:32,"Married, Father of three, work in the oil fields, a constitutional conservative & libertarian, served in the Army.",960,1627,"North Dakota, USA",,0,1.0
4,17878,714588235658211328,RT @LifeNewsHQ: BREAKING: Wisconsin Pro-Life Group Backs Cruz Over Trump: He’s “Always Been Pro-Life” https://t.co/wFJMsrqh4Y #tcot https:/…,911,0,Twitter Web Client,2016-03-28 23:01:26,564824282,EB_imconfus,EB #CruzCrew,2012-04-27 18:38:54,Praying 4 America & world that needs her strong #Cruz  #Constitutional #Conservative #MarineBrat Follow by @COSProject @DineshDSouza  @ChuckNellis @ChrisLoesch,8702,9148,"North Dakota & Wisconsin, USA",Pacific Time (US & Canada),1,0.265
5,18005,714588113624965120,"RT @sahilkapur: .@carlyfiorina speaking now, intro'ing Cruz. https://t.co/IjkCdII1nY",207,0,Twitter Web Client,2016-03-28 23:00:57,564824282,EB_imconfus,EB #CruzCrew,2012-04-27 18:38:54,Praying 4 America & world that needs her strong #Cruz  #Constitutional #Conservative #MarineBrat Follow by @COSProject @DineshDSouza  @ChuckNellis @ChrisLoesch,8702,9148,"North Dakota & Wisconsin, USA",Pacific Time (US & Canada),0,1.0
6,18049,714588069186248705,"RT @tedcruz: If I'm elected president, America will have a Commander in Chief committed to defeating radical Islamic terrorism https://t.co…",875,0,Twitter Web Client,2016-03-28 23:00:46,564824282,EB_imconfus,EB #CruzCrew,2012-04-27 18:38:54,Praying 4 America & world that needs her strong #Cruz  #Constitutional #Conservative #MarineBrat Follow by @COSProject @DineshDSouza  @ChuckNellis @ChrisLoesch,8702,9148,"North Dakota & Wisconsin, USA",Pacific Time (US & Canada),0,1.0
7,18334,714587823307771905,RT @tedcruz: We need real solutions for the real problems in this country -- that's the focus of my campaign: https://t.co/XI67XEzv0E,619,0,Twitter Web Client,2016-03-28 22:59:48,564824282,EB_imconfus,EB #CruzCrew,2012-04-27 18:38:54,Praying 4 America & world that needs her strong #Cruz  #Constitutional #Conservative #MarineBrat Follow by @COSProject @DineshDSouza  @ChuckNellis @ChrisLoesch,8702,9148,"North Dakota & Wisconsin, USA",Pacific Time (US & Canada),0,1.0
8,18386,714587786024607744,RT @trscoop: Ted Cruz to Media: WHO CARES WHAT DONALD IS TWEETING LATE AT NIGHT? https://t.co/QLpTLy08RG https://t.co/ITw37oyvLu,302,0,Twitter Web Client,2016-03-28 22:59:39,564824282,EB_imconfus,EB #CruzCrew,2012-04-27 18:38:54,Praying 4 America & world that needs her strong #Cruz  #Constitutional #Conservative #MarineBrat Follow by @COSProject @DineshDSouza  @ChuckNellis @ChrisLoesch,8702,9148,"North Dakota & Wisconsin, USA",Pacific Time (US & Canada),0,1.0
9,18759,714587492385619968,"RT @ABCPolitics: WATCH: @tedcruz: ""Who cares what Donald is tweeting?"" https://t.co/xpG5K17CfH",620,0,Twitter Web Client,2016-03-28 22:58:29,564824282,EB_imconfus,EB #CruzCrew,2012-04-27 18:38:54,Praying 4 America & world that needs her strong #Cruz  #Constitutional #Conservative #MarineBrat Follow by @COSProject @DineshDSouza  @ChuckNellis @ChrisLoesch,8702,9148,"North Dakota & Wisconsin, USA",Pacific Time (US & Canada),0,1.0
10,27551,714579868135067648,Randy Cruz on deck mat 1 vs. Solomon Chishko of Virginia Tech in consolation quarterfinal at 141.,0,0,Twitter Web Client,2016-03-28 22:28:11,2523456828,MonstaneyaM,ChevyMonsta,2014-05-25 21:08:02,Slab Rider/Musician/Porn  watcher,12,47,North Dakota,Pacific Time (US & Canada),0,1.0
